FECHA,VENTANILLA,ETOTAL,EPASADA,EREGULACION,EGNCAMISEA,EGNMALACAS,EGNAGUAYTIA,EDIESEL,ERESIDUAL,EBAGAZO,EBIOGAS,ESOLAR,EEOLICO,DNORTE,DCENTRO,DEMSUR,PRESIONV,TEMPV,DISPGNV
43525,205.90889,5865.95385,1026.60245,3054.51773,1645.72557,0,0,1.2,25.1,5.545,9.45,0,97.8131,808.01426,3579.31395,1478.62564,4275.56,27.3,2250
43525.02083,204.68151,5672.97501,1049.97729,2890.18866,1593.54184,0,0,1.2,24.6,5.83,9.45,0,98.18722,777.54653,3419.21673,1476.21175,4275.56,27.3,2250
43525.04167,205.40022,5669.45656,1025.47665,2892.64807,1608.36405,0,0,1.2,24.2,6.08,9.45,0,102.03779,786.86437,3415.13468,1467.45751,4308.537,26.75,2250
43525.0625,205.38319,5587.59234,1046.55298,2847.46891,1563.72465,0,0,1.2,24.3,5.775,9.45,0,89.1208,773.70199,3358.21156,1455.67879,4308.537,26.75,2250
43525.08333,205.17624,5525.5969,1047.5133,2684.35167,1659.8056,0,0,1.2,24.9,5.78777,9.45,0,92.58856,762.21521,3310.13072,1453.25097,4369.191,26.25,2250
43525.10417,185.00137,5376.909,1026.27183,2686.56721,1541.32252,0,0,0,21.9,5.60509,9.45,0,85.79235,715.70615,3225.34783,1435.85502,4369.191,26.25,2250
43525.125,180.07584,5398.03227,1033.58475,2711.84447,1533.84638,0,0,0,21.7,5.57822,9.45,0,82.02845,715.85349,3226.62353,1455.55525,4408.292,25.825,2250
43525.14583,178.38134,5248.96656,1024.27891,2647.92752,1437.08901,0,0,0,21.6,5.76451,9.45,0,102.85661,734.90635,3123.96168,1390.09853,4408.292,25.825,2250
43525.16667,179.68156,5381.32789,1035.11792,2731.79891,1456.18767,0,0,0,21.6,5.5882,9.45,0,121.58519,712.57386,3238.72251,1430.03152,4423.367,25.4,2250
43525.1875,178.72569,5473.33433,1044.70915,2772.96699,1497.17413,0,0,0,21.6,5.51949,9.45,0,121.91457,749.84912,3259.71012,1463.77509,4423.367,25.4,2250
43525.20833,177.56608,5423.76831,1034.92715,2731.0667,1460.90547,0,0,0,21.5,5.665,9.45,0,160.25399,746.63723,3223.09046,1454.04062,4421.13,25.1,2250
43525.22917,179.70037,5457.00229,1025.49642,2713.00489,1522.09224,0,0,0,21.2,5.825,9.45,6.46289,153.47085,757.68887,3276.92821,1422.38521,4421.13,25.1,2250
43525.25,178.9909,5606.21024,1035.15755,2812.54753,1571.35807,0,0,0,21.6,5.99,9.45,36.65187,113.45522,786.89962,3380.46904,1438.84158,4399.106,24.8,2250
43525.27083,179.56613,5670.26742,1042.96467,2837.58984,1527.24039,0,0,1.2,24.6,5.81,9.45,119.03395,102.37857,779.9879,3465.596,1424.68352,4399.106,24.8,2250
43525.29167,186.62991,5770.84166,1032.82486,2812.32872,1640.57767,0,0,1.2,24.7,5.755,9.45,180.94251,63.0629,781.21237,3596.80679,1392.8225,4321.845,24.575,2250
43525.3125,206.3317,5995.73988,1045.57722,2879.04598,1713.16689,0,0,54.57375,24.8,5.715,9.45,205.59377,57.81727,848.95801,3697.16178,1449.62009,4321.845,24.575,2250
43525.33333,202.33332,6234.20279,1051.00208,2918.61852,1838.83554,0,0,126.95699,25,5.71,9.45,213.49174,45.13792,876.37622,3905.65437,1452.1722,4283.804,24.475,2250
43525.35417,203.6354,6430.1107,1049.47788,2961.82357,1964.15884,0,0,126.46226,24.5,5.995,9.45,229.31427,58.92888,889.43643,4059.17433,1481.49994,4283.804,24.475,2250
43525.375,203.96919,6602.01133,1061.42765,3016.69729,2086.2887,0,0,101.74164,24.5,5.65,9.05,228.6105,68.04555,940.04089,4169.74893,1492.22151,4221.148,24.725,2250
43525.39583,203.15771,6716.86385,1055.99838,3005.92778,2213.12323,0,0,102.0792,24.4,5.625,7.85,232.70139,69.15887,920.80582,4350.21084,1445.84719,4221.148,24.725,2250
43525.41667,203.03834,6799.94963,1051.50125,3053.22914,2213.31275,0,0,100.93149,24.5,5.835,7.85,242.84614,99.94386,943.17187,4382.99623,1473.78153,4102.431,25.125,2250
43525.4375,200.69009,6859.29882,1043.37263,3023.3108,2349.48608,0,0,99.9488,24.3,5.45,7.85,206.96958,98.61093,974.67567,4398.76365,1485.8595,4102.431,25.125,2250
43525.45833,209.93472,6956.81118,1042.16156,3053.40452,2381.99068,0,19.9265,126.4495,24.7,5.84,8.8,196.67962,96.8588,964.82382,4486.57626,1505.4111,4062.859,25.687,2250
43525.47917,211.57638,6952.9246,1046.26763,3057.41518,2231.7926,0,66.73364,126.01765,24.5,5.815,9.1,226.48513,158.79777,977.68257,4477.19484,1498.04719,4062.859,25.687,2250
43525.5,213.78132,6854.31573,1046.15068,3034.77432,2182.85042,0,80.16838,126.71102,24.6,5.955,9.1,171.65641,172.3495,986.23699,4360.71575,1507.36299,4043.779,26.35,2250
43525.52083,209.8389,6834.61536,1045.82263,2958.30763,2200.39705,0,80.5661,125.88032,24.9,5.89,9.1,184.13864,199.61299,944.49121,4404.701,1485.42315,4043.779,26.35,2250
43525.54167,202.85054,6762.56956,1045.76663,2913.74211,2151.42703,0,81.00504,126.1039,24.4,5.99,9.1,178.8289,226.20595,907.22598,4359.53262,1495.81096,4094.305,26.925,2250
43525.5625,199.84111,6866.58243,1052.79113,3030.03323,2180.44402,0,81.34698,102.16224,24.4,6.14,9.1,151.63901,228.52582,957.91053,4395.7596,1512.9123,4094.305,26.925,2250
43525.58333,201.44669,6845.17009,1029.11924,3005.69877,2181.63775,0,81.75955,102.75486,24.6,6.21,9.1,156.4571,247.83282,955.85056,4375.77592,1513.54361,4150.012,27.425,2250
43525.60417,199.41492,6882.74006,1035.43574,3005.77902,2226.88081,0,81.77473,100.03352,24.4,5.59,9.1,152.83548,240.91076,948.96138,4421.084,1512.69468,4150.012,27.425,2250
43525.625,200.82707,6883.08663,1044.61712,3037.52429,2156.80114,0,81.83912,103.14846,24.8,6.125,9,171.91425,247.31725,957.0718,4440.71677,1485.29806,4154.723,27.95,2250
43525.64583,202.22383,6780.7722,1033.35458,2956.80669,2165.86825,0,81.81878,99.74527,25.2,6.02,9,145.96925,256.98938,937.99472,4354.15906,1488.61842,4154.723,27.95,2250
43525.66667,199.43182,6783.14428,1048.64679,3028.10076,2109.56649,0,81.74328,102.37464,24.6,5.27,9,118.94562,254.8967,947.55353,4334.20695,1501.3838,4170.034,28.75,2250
43525.6875,201.43475,6704.25872,1046.10722,3011.59581,2045.41301,0,81.66202,102.54817,24.9,6.035,9,125.84017,251.15732,915.36881,4266.43522,1522.45469,4170.034,28.75,2250
43525.70833,201.07454,6617.31246,1052.27518,3034.09167,2009.76508,0,81.64163,102.35434,25,5.975,9.2,49.00126,248.0083,891.91244,4213.17679,1512.22323,4175.922,29.175,2250
43525.72917,195.98667,6405.80247,1044.94398,2980.64364,1922.6904,0,60.59914,102.13843,24.8,5.885,9.2,5.80115,249.10073,835.1311,4030.37994,1540.29143,4175.922,29.175,2250
43525.75,178.50681,6601.0949,1057.91875,3007.82628,2111.64669,0,61.15,86.7155,24.6,5.855,9.2,0,236.18268,855.66815,4191.03394,1554.39281,4160.965,29.075,2250
43525.77083,202.91995,6714.76074,1056.5068,3104.76031,2117.13801,0,79.76,86.81784,24.9,5.8,9.2,0,229.87778,958.27399,4233.86473,1522.62202,4160.965,29.075,2250
43525.79167,202.50822,6800.67805,1048.81898,3100.28412,2221.83386,0,82.1,91.73499,24.8,5.81,9.3,0,215.9961,984.37608,4245.91565,1570.38632,4146.597,28,2250
43525.8125,202.04975,6781.17869,1053.02366,3115.69233,2232.76769,0,82.16,96.39177,24.8,5.65,9.3,0,161.39324,954.34876,4237.48319,1589.34674,4146.597,28,2250
43525.83333,203.67108,6738.25468,1063.0064,3104.82669,2217.90748,0,82.27,102.102,24,4.95648,9.3,0,129.88563,976.26054,4197.61168,1564.38246,4089.947,27.475,2250
43525.85417,203.11768,6725.12402,1062.62193,3087.31101,2242.4501,0,82.33,101.50749,24.2,5.81858,9.3,0,109.58491,967.71105,4187.27335,1570.13962,4089.947,27.475,2250
43525.875,202.30761,6660.14779,1067.46421,3098.77232,2146.23727,0,82.4,101.24896,24.1,5.70442,9.3,0,124.92061,939.57336,4148.0332,1572.54123,4052.848,27.075,2250
43525.89583,203.34156,6559.46291,1066.49366,3098.4698,2047.80217,0,82.54,101.20828,24.1,5.752,9.4,0,123.697,907.18015,4130.94473,1521.33803,4052.848,27.075,2250
43525.91667,203.52213,6436.19876,1066.16375,3090.85518,1950.3518,0,82.61,101.68423,24,5.49199,9.4,0,105.64181,908.05226,4057.70432,1470.44218,4051.788,26.525,2250
